iter	RMSE
0	14.30261119
1	13.37745594
2	12.48017744
3	11.76049673
4	11.03859104
5	10.44483832
6	9.953080909
7	9.442833503
8	9.020353669
9	8.604713229
10	8.228423194
11	7.914228454
12	7.625388803
13	7.373874045
14	7.119090127
15	6.907837161
16	6.724775886
17	6.568643819
18	6.410082654
19	6.277546479
20	6.173063457
21	6.053311547
22	5.954190881
23	5.874672804
24	5.794451926
25	5.736398623
26	5.664968747
27	5.615591619
28	5.570600227
29	5.524384326
30	5.48155431
31	5.444111215
32	5.404456288
33	5.372771884
34	5.3325793
35	5.300386054
36	5.27294577
37	5.247756487
38	5.22019754
39	5.196515421
40	5.177649911
41	5.165822511
42	5.146358378
43	5.12932571
44	5.113037401
45	5.095467585
46	5.07730699
47	5.065753357
48	5.046980781
49	5.027998476
50	5.014385182
51	4.992754029
52	4.991112518
53	4.972976957
54	4.971904734
55	4.957343355
56	4.945265224
57	4.93561028
58	4.927870313
59	4.918342595
60	4.895708721
61	4.892357874
62	4.879214183
63	4.869773058
64	4.857199437
65	4.847857987
66	4.842246038
67	4.826215309
68	4.822528379
69	4.812890453
70	4.806150972
71	4.799588093
72	4.792528726
73	4.784576822
74	4.775851339
75	4.770842729
76	4.765379078
77	4.754710314
78	4.742513176
79	4.736454593
80	4.730273655
81	4.716812386
82	4.711107239
83	4.69713158
84	4.683071006
85	4.668203891
86	4.658094851
87	4.651132593
88	4.635036811
89	4.622514583
90	4.616655817
91	4.611237808
92	4.591686471
93	4.585135486
94	4.571198736
95	4.566051633
96	4.560599371
97	4.556054192
98	4.549040589
99	4.545465602
