iter	Passed	Remaining
0	51	51309
1	52	26343
2	53	17884
3	54	13647
4	55	11058
5	56	9323
6	57	8089
7	57	7160
8	58	6447
9	59	5869
10	59	5394
11	60	5007
12	61	4693
13	62	4409
14	63	4185
15	64	3973
16	65	3786
17	66	3612
18	67	3460
19	67	3324
20	68	3197
21	69	3086
22	70	2986
23	71	2892
24	71	2806
25	72	2725
26	73	2651
27	74	2581
28	75	2516
29	75	2457
30	76	2400
31	77	2346
32	78	2297
33	79	2250
34	80	2208
35	81	2171
36	82	2136
37	82	2099
38	83	2065
39	84	2032
40	85	2002
41	86	1973
42	87	1945
43	88	1916
44	89	1893
45	90	1868
46	90	1843
47	91	1820
48	92	1795
49	93	1773
50	94	1752
51	95	1735
52	96	1717
53	96	1698
54	97	1680
55	98	1662
56	99	1644
57	100	1629
58	101	1619
59	102	1603
60	102	1582
61	103	1560
62	103	1545
63	104	1531
64	105	1518
65	106	1506
66	107	1496
67	108	1488
68	109	1476
69	110	1468
70	111	1458
71	112	1448
72	113	1438
73	114	1429
74	115	1420
75	116	1411
76	117	1405
77	118	1397
78	119	1389
79	120	1381
80	120	1368
81	121	1362
82	122	1354
83	123	1345
84	124	1337
85	125	1330
86	126	1322
87	126	1315
88	127	1308
89	128	1300
90	129	1293
91	130	1285
92	131	1279
93	132	1272
94	132	1262
95	133	1255
96	134	1248
97	134	1241
98	135	1234
99	136	1227
100	137	1219
101	137	1213
102	138	1208
103	139	1202
104	140	1197
105	141	1190
106	141	1184
107	142	1178
108	143	1171
109	143	1164
110	144	1158
111	145	1152
112	146	1147
113	146	1141
114	147	1136
115	148	1130
116	148	1123
117	149	1118
118	150	1112
119	150	1107
120	151	1102
121	152	1096
122	153	1091
123	153	1085
124	154	1081
125	155	1076
126	155	1071
127	156	1066
128	157	1061
129	157	1054
130	158	1048
131	158	1043
132	159	1038
133	159	1033
134	160	1028
135	161	1023
136	161	1017
137	162	1013
138	162	1007
139	163	1002
140	163	997
141	164	991
142	164	986
143	165	981
144	165	975
145	165	970
146	166	965
147	166	960
148	167	955
149	167	950
150	168	945
151	168	940
152	168	935
153	169	930
154	169	926
155	170	921
156	171	918
157	171	914
158	172	910
159	172	907
160	173	903
161	174	900
162	174	896
163	175	892
164	175	889
165	176	886
166	176	882
167	177	879
168	178	875
169	178	872
170	179	868
171	179	864
172	180	861
173	180	857
174	181	855
175	182	852
176	182	849
177	183	846
178	183	843
179	184	840
180	185	837
181	185	833
182	185	829
183	186	826
184	186	823
185	187	819
186	187	817
187	188	814
188	189	811
189	189	809
190	190	806
191	191	804
192	191	801
193	192	799
194	192	796
195	193	793
196	193	790
197	194	787
198	194	784
199	195	781
200	195	778
201	196	775
202	196	772
203	197	769
204	197	767
205	198	764
206	199	762
207	199	759
208	200	757
209	200	754
210	201	752
211	201	749
212	202	747
213	202	745
214	203	742
215	203	739
216	204	737
217	204	734
218	205	731
219	205	728
220	206	726
221	206	723
222	206	720
223	207	718
224	207	715
225	208	713
226	208	710
227	209	708
228	209	705
229	210	703
230	210	701
231	211	699
232	211	697
233	212	695
234	213	693
235	213	691
236	213	688
237	214	686
238	214	683
239	215	681
240	215	679
241	216	677
242	216	674
243	217	672
244	217	670
245	217	668
246	218	665
247	218	663
248	219	661
249	219	659
250	220	657
251	220	655
252	221	653
253	221	651
254	222	650
255	222	648
256	223	646
257	224	644
258	224	642
259	225	640
260	225	638
261	226	636
262	226	634
263	227	632
264	227	631
265	228	630
266	228	628
267	229	626
268	230	625
269	230	623
270	231	621
271	231	619
272	232	618
273	232	616
274	233	614
275	233	613
276	234	611
277	234	610
278	235	608
279	236	607
280	236	605
281	237	604
282	238	603
283	238	601
284	239	599
285	239	598
286	240	596
287	240	595
288	241	593
289	241	591
290	242	590
291	242	588
292	243	586
293	243	584
294	243	583
295	244	581
296	244	579
297	245	578
298	245	576
299	246	575
300	246	573
301	247	571
302	248	570
303	248	569
304	249	567
305	249	566
306	250	565
307	251	564
308	251	563
309	252	561
310	252	560
311	253	558
312	253	556
313	253	554
314	254	553
315	254	551
316	255	550
317	255	548
318	255	546
319	256	544
320	256	543
321	257	542
322	258	541
323	258	539
324	259	539
325	260	537
326	260	536
327	261	535
328	261	533
329	262	532
330	262	530
331	263	529
332	263	528
333	264	526
334	264	525
335	264	523
336	265	522
337	265	520
338	266	519
339	266	518
340	267	516
341	267	515
342	268	514
343	269	513
344	269	512
345	270	510
346	270	509
347	271	508
348	271	506
349	272	505
350	272	504
351	273	503
352	273	501
353	274	500
354	274	498
355	275	497
356	275	496
357	276	495
358	276	493
359	276	492
360	277	491
361	277	489
362	278	488
363	278	486
364	279	485
365	279	484
366	279	482
367	280	481
368	280	480
369	281	479
370	281	477
371	282	476
372	282	475
373	283	473
374	283	472
375	284	471
376	284	470
377	285	469
378	285	467
379	286	466
380	286	465
381	287	464
382	287	463
383	288	462
384	288	461
385	289	459
386	289	458
387	289	457
388	290	456
389	290	454
390	291	453
391	291	452
392	292	451
393	292	450
394	293	449
395	293	448
396	294	447
397	294	446
398	295	444
399	295	443
400	296	442
401	296	441
402	297	440
403	297	438
404	297	437
405	298	436
406	298	435
407	299	434
408	299	432
409	300	431
410	300	430
411	300	429
412	301	428
413	301	427
414	302	425
415	302	424
416	303	423
417	303	422
418	303	421
419	304	420
420	304	419
421	305	418
422	305	417
423	306	416
424	306	414
425	306	413
426	307	412
427	307	410
428	307	409
429	308	408
430	308	407
431	309	406
432	309	405
433	309	404
434	310	403
435	310	402
436	311	401
437	311	400
438	312	399
439	312	397
440	313	396
441	313	395
442	314	394
443	314	393
444	314	392
445	315	391
446	315	390
447	316	390
448	317	389
449	317	388
450	318	387
451	318	386
452	318	385
453	319	383
454	319	383
455	320	382
456	320	381
457	321	380
458	322	379
459	322	378
460	323	377
461	323	376
462	323	375
463	324	374
464	324	373
465	324	372
466	325	371
467	325	370
468	326	369
469	326	368
470	327	367
471	327	366
472	328	365
473	328	364
474	328	363
475	329	362
476	329	361
477	330	360
478	330	359
479	330	358
480	331	357
481	331	356
482	332	355
483	332	354
484	333	353
485	333	352
486	334	351
487	334	351
488	335	350
489	335	349
490	335	348
491	336	347
492	336	346
493	337	345
494	337	344
495	338	343
496	338	342
497	339	342
498	339	341
499	340	340
500	340	339
501	341	338
502	341	337
503	342	336
504	342	335
505	343	334
506	343	334
507	343	333
508	344	332
509	344	331
510	345	330
511	345	329
512	346	328
513	346	327
514	347	326
515	347	325
516	347	324
517	347	323
518	348	322
519	348	321
520	349	321
521	349	320
522	350	319
523	351	319
524	352	318
525	352	317
526	353	317
527	353	316
528	354	315
529	354	314
530	355	313
531	355	312
532	356	312
533	356	311
534	357	310
535	357	309
536	358	308
537	358	308
538	359	307
539	359	306
540	360	305
541	360	304
542	361	304
543	361	303
544	362	302
545	362	301
546	363	300
547	363	300
548	364	299
549	364	298
550	365	297
551	365	297
552	366	296
553	367	295
554	367	295
555	368	294
556	369	293
557	369	292
558	370	292
559	370	291
560	371	290
561	371	289
562	372	288
563	372	288
564	373	287
565	373	286
566	374	285
567	374	285
568	375	284
569	375	283
570	376	282
571	377	282
572	377	281
573	378	280
574	378	279
575	379	279
576	379	278
577	380	277
578	380	276
579	381	276
580	381	275
581	382	274
582	382	273
583	383	272
584	383	272
585	384	271
586	384	270
587	385	269
588	385	269
589	386	268
590	386	267
591	387	266
592	387	266
593	388	265
594	388	264
595	388	263
596	389	262
597	389	262
598	390	261
599	390	260
600	391	259
601	391	258
602	392	258
603	392	257
604	393	256
605	393	255
606	394	255
607	394	254
608	395	253
609	395	252
610	396	252
611	396	251
