iter	Passed	Remaining
0	50	50231
1	51	25817
2	52	17609
3	54	13515
4	55	11063
5	56	9393
6	57	8179
7	58	7253
8	59	6534
9	60	5983
10	61	5512
11	62	5124
12	63	4790
13	63	4500
14	65	4269
15	66	4068
16	67	3893
17	68	3739
18	69	3595
19	70	3457
20	71	3330
21	72	3213
22	73	3103
23	73	3005
24	74	2913
25	75	2836
26	76	2770
27	78	2712
28	79	2653
29	80	2598
30	81	2540
31	82	2486
32	83	2434
33	84	2387
34	84	2339
35	85	2284
36	86	2238
37	87	2203
38	87	2166
39	88	2132
40	89	2098
41	90	2063
42	91	2030
43	92	1999
44	92	1968
45	93	1938
46	94	1909
47	94	1883
48	95	1861
49	96	1841
50	97	1818
51	98	1800
52	99	1780
53	100	1759
54	101	1740
55	102	1720
56	102	1702
57	103	1685
58	104	1673
59	105	1656
60	106	1633
61	106	1612
62	107	1596
63	108	1581
64	108	1567
65	109	1555
66	110	1541
67	111	1527
68	112	1513
69	112	1500
70	113	1487
71	114	1475
72	115	1463
73	115	1450
74	116	1440
75	117	1429
76	118	1421
77	119	1410
78	120	1401
79	120	1391
80	121	1377
81	122	1366
82	122	1352
83	122	1339
84	123	1330
85	124	1321
86	125	1312
87	125	1303
88	127	1300
89	127	1292
90	128	1283
91	129	1275
92	129	1266
93	130	1258
94	130	1247
95	131	1239
96	132	1233
97	133	1226
98	133	1218
99	134	1211
100	135	1205
101	136	1199
102	137	1194
103	137	1188
104	138	1178
105	138	1168
106	138	1159
107	139	1153
108	140	1147
109	141	1141
110	142	1137
111	142	1133
112	143	1129
113	144	1124
114	145	1120
115	146	1115
116	146	1107
117	147	1103
118	148	1097
119	149	1092
120	149	1088
121	150	1084
122	151	1079
123	152	1074
124	152	1070
125	153	1066
126	154	1063
127	155	1060
128	156	1056
129	157	1051
130	157	1046
131	158	1042
132	159	1039
133	160	1036
134	161	1032
135	161	1028
136	162	1025
137	163	1022
138	164	1018
139	165	1014
140	166	1011
141	166	1008
142	167	1005
143	168	1002
144	169	998
145	170	994
146	170	990
147	171	987
148	172	984
149	173	981
150	173	977
151	174	974
152	175	971
153	176	967
154	176	964
155	177	961
156	178	957
157	179	954
158	179	951
159	180	948
160	181	945
161	181	940
162	182	935
163	182	931
164	183	927
165	184	924
166	184	921
167	185	917
168	185	914
169	186	910
170	187	907
171	187	904
172	188	900
173	188	897
174	189	894
175	190	890
176	190	886
177	191	883
178	191	880
179	192	877
180	193	874
181	193	870
182	194	868
183	195	865
184	195	863
185	196	859
186	196	856
187	197	853
188	198	850
189	198	847
190	199	844
191	200	842
192	200	839
193	201	837
194	202	835
195	202	832
196	203	830
197	204	827
198	204	824
199	205	822
200	206	820
201	207	819
202	207	816
203	208	814
204	209	812
205	210	809
206	210	806
207	211	804
208	211	801
209	212	798
210	213	796
211	213	794
212	214	792
213	215	789
214	215	787
215	216	784
216	216	782
217	217	780
218	218	777
219	218	776
220	219	773
221	220	771
222	220	769
223	221	767
224	222	765
225	222	763
226	223	760
227	224	758
228	224	756
229	225	754
230	226	752
231	226	750
232	227	748
233	228	747
234	229	745
235	229	744
236	230	743
237	231	741
238	232	739
239	233	738
240	233	735
241	234	733
242	234	731
243	235	730
244	236	728
245	237	726
246	237	725
247	238	723
248	239	722
249	240	720
250	240	718
251	241	716
252	242	715
253	242	712
254	242	709
255	243	706
256	244	706
257	244	704
258	245	703
259	246	701
260	246	699
261	247	697
262	248	695
263	249	694
264	249	692
265	250	691
266	251	690
267	252	688
268	252	687
269	253	685
270	253	683
271	254	680
272	254	678
273	255	676
274	256	675
275	256	673
276	257	672
277	258	671
278	259	670
279	259	667
280	259	664
281	260	662
282	260	659
283	260	657
284	261	655
285	261	653
286	262	652
287	262	650
288	263	648
289	264	646
290	264	644
291	265	642
292	265	641
293	266	639
294	266	638
295	267	636
296	268	634
297	268	632
298	268	630
299	269	628
300	270	627
301	270	625
302	271	623
303	271	622
304	272	620
305	273	619
306	273	617
307	274	616
308	274	614
309	275	613
310	276	611
311	276	610
312	277	609
313	278	607
314	278	606
315	279	605
316	280	603
317	280	602
318	281	601
319	282	599
320	282	598
321	283	597
322	284	596
323	285	594
324	285	593
325	286	592
326	287	591
327	288	590
328	288	589
329	289	588
330	290	586
331	290	584
332	291	583
333	292	582
334	292	581
335	293	579
336	293	578
337	294	576
338	294	574
339	295	573
340	295	571
341	296	569
342	296	568
343	297	566
344	297	565
345	298	563
346	298	562
347	299	560
348	299	558
349	300	557
350	300	556
351	301	554
352	301	553
353	302	551
354	302	550
355	303	548
356	303	546
357	304	545
358	304	543
359	305	542
360	305	540
361	306	539
362	306	537
363	306	536
364	307	534
365	307	533
366	308	531
367	308	530
368	309	529
369	309	527
370	310	526
371	310	524
372	311	523
373	311	521
374	312	520
375	312	518
376	313	517
377	313	515
378	313	514
379	314	512
380	314	511
381	315	509
382	315	507
383	315	506
384	315	504
385	316	503
386	316	501
387	317	500
388	317	498
389	317	496
390	318	495
391	318	493
392	318	492
393	318	490
394	319	488
395	319	487
396	319	485
397	319	483
398	320	482
399	320	480
400	320	479
401	321	477
402	321	476
403	321	474
404	322	473
405	322	471
406	322	470
407	322	468
408	323	466
409	323	465
410	323	463
411	323	462
412	324	460
413	324	459
414	324	457
415	325	456
416	325	454
417	325	453
418	325	451
419	326	450
420	326	448
421	326	447
422	327	446
423	327	444
424	327	443
425	327	441
426	328	440
427	328	439
428	328	437
429	329	436
430	329	434
431	329	433
432	330	432
433	330	430
434	330	429
435	331	428
436	331	426
437	331	425
438	332	424
439	332	422
440	332	421
441	332	420
442	333	418
443	333	417
444	333	416
445	333	414
446	334	413
447	334	412
448	334	410
449	334	409
450	335	408
451	335	406
452	336	405
453	336	404
454	336	403
455	336	401
456	337	400
457	337	399
458	337	398
459	338	396
460	338	395
461	338	394
462	338	393
463	339	391
464	339	390
465	339	389
466	340	388
467	340	387
468	340	385
469	341	384
470	341	383
471	341	382
472	341	381
473	342	379
474	342	378
475	342	377
476	343	376
477	343	374
478	343	373
479	343	372
480	344	371
481	344	370
482	344	368
483	344	367
484	345	366
485	345	365
486	345	364
487	345	362
488	346	361
489	346	360
490	346	359
491	346	358
492	347	357
493	347	356
494	347	354
495	348	353
496	348	352
497	348	351
498	348	350
499	349	349
500	349	348
501	349	346
502	349	345
503	350	344
504	350	343
505	350	342
506	351	341
507	351	340
508	351	339
509	351	338
510	352	336
511	352	335
512	352	334
513	353	333
514	353	332
515	353	331
516	353	330
517	354	329
518	354	328
519	354	327
520	354	326
521	355	325
522	355	324
523	355	323
524	355	321
525	356	320
526	356	319
527	356	318
528	356	317
529	357	316
530	357	315
531	357	314
532	358	313
533	358	312
534	358	311
535	358	310
536	359	309
537	359	308
538	359	307
539	359	306
540	360	305
541	360	304
542	360	303
543	360	302
544	361	301
545	361	300
546	361	299
547	362	298
548	362	297
549	362	296
550	362	295
551	363	294
552	363	293
553	363	292
554	363	291
555	364	290
556	364	289
557	364	288
558	365	287
559	365	287
560	365	286
561	365	285
562	366	284
563	366	283
564	366	282
565	367	281
566	367	280
567	367	279
568	367	278
569	368	277
570	368	276
571	368	275
572	368	274
573	369	274
574	369	273
575	369	272
576	370	271
577	370	270
578	370	269
579	370	268
580	371	267
581	371	266
582	371	265
583	371	264
584	372	263
585	372	263
586	372	262
587	372	261
588	373	260
589	373	259
590	373	258
591	373	257
592	374	256
593	374	255
594	374	255
595	374	254
596	375	253
597	375	252
598	375	251
599	376	250
600	376	249
601	376	248
602	376	248
603	377	247
604	377	246
605	377	245
606	377	244
607	378	243
608	378	242
609	378	242
610	378	241
611	379	240
612	379	239
613	379	238
614	379	237
615	379	236
616	380	236
617	380	235
618	381	234
619	381	233
620	381	232
621	381	232
622	382	231
623	382	230
624	382	229
625	382	228
626	383	227
627	383	227
628	383	226
629	383	225
630	384	224
631	384	223
632	384	223
633	384	222
634	385	221
635	385	220
636	385	219
637	385	218
638	386	218
639	386	217
640	386	216
641	386	215
642	387	215
643	387	214
644	387	213
645	388	212
646	388	211
647	388	211
648	388	210
649	389	209
650	389	208
651	389	207
652	389	207
653	390	206
654	390	205
655	390	204
656	390	204
657	391	203
658	391	202
659	391	201
660	392	201
661	392	200
662	392	199
663	393	198
664	393	198
665	393	197
666	393	196
667	394	195
668	394	195
669	394	194
670	394	193
671	395	192
672	395	192
673	395	191
674	395	190
675	396	189
676	396	189
677	396	188
678	396	187
679	397	186
680	397	186
681	397	185
682	398	184
683	398	184
684	398	183
685	399	182
686	399	182
687	399	181
688	400	180
689	400	179
690	400	179
691	400	178
692	400	177
693	401	176
694	401	176
695	401	175
696	402	174
697	402	174
698	402	173
699	402	172
700	403	171
701	403	171
702	403	170
703	403	169
704	404	169
705	404	168
706	404	167
707	404	167
708	405	166
709	405	165
710	405	164
711	406	164
712	406	163
713	406	162
714	406	162
715	407	161
716	407	160
717	407	160
718	407	159
719	408	158
720	408	158
721	408	157
722	408	156
723	409	155
724	409	155
725	409	154
726	409	153
727	410	153
728	410	152
729	410	151
730	410	151
731	411	150
732	411	149
733	411	149
734	412	148
735	412	147
736	412	147
737	412	146
738	413	145
739	413	145
740	413	144
741	414	143
742	414	143
743	414	142
744	414	142
745	415	141
746	415	140
747	415	140
748	415	139
749	416	138
750	416	138
751	416	137
752	417	136
753	417	136
754	417	135
755	418	134
756	418	134
757	418	133
758	418	133
759	419	132
760	419	131
761	419	131
762	420	130
763	420	129
764	420	129
765	420	128
766	421	127
767	421	127
768	421	126
769	421	126
770	422	125
771	422	124
772	422	124
773	423	123
774	423	122
775	423	122
776	423	121
777	424	121
778	424	120
779	424	119
780	424	119
781	425	118
782	425	117
783	425	117
784	425	116
785	426	116
786	426	115
787	426	114
788	426	114
789	427	113
790	427	112
791	427	112
792	428	111
793	428	111
794	428	110
795	428	109
796	429	109
797	429	108
798	429	108
799	429	107
800	430	106
801	430	106
802	430	105
803	430	105
804	431	104
805	431	103
806	431	103
807	432	102
808	432	102
809	432	101
810	432	100
811	433	100
812	433	99
813	433	99
814	433	98
815	434	97
816	434	97
817	434	96
818	435	96
819	435	95
820	435	94
821	435	94
